,aeid,Rosig_AC50,Trog_AC50,test_status,biological_process_target,intended_target_family,intended_target_family_sub,test_target,intended_target_gene_symbol,technological_target_gene_symbol,intended_target_entrez_gene_id,technological_target_entrez_gene_id,intended_target_gene_name,technological_target_gene_name,assay_component_endpoint_name,assay_name
351,292,1000000.0,1000000.0,nR-nT,cell death,cell morphology,cell conformation,cell death,,,,,,,BSK_LPS_SRB_up,BSK_LPS
352,293,11.6654778662702,34.4437213881519,R-T,regulation of gene expression,cytokine,coagulation factor,F3,F3,F3,2152,2152,"coagulation factor III (thromboplastin, tissue factor)","coagulation factor III (thromboplastin, tissue factor)",BSK_LPS_TissueFactor_down,BSK_LPS
353,294,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,coagulation factor,F3,F3,F3,2152,2152,"coagulation factor III (thromboplastin, tissue factor)","coagulation factor III (thromboplastin, tissue factor)",BSK_LPS_TissueFactor_up,BSK_LPS
354,295,1000000.0,35.5521440869823,nR-T,regulation of gene expression,cytokine,inflammatory factor,TNF,TNF,TNF,7124,7124,tumor necrosis factor,tumor necrosis factor,BSK_LPS_TNFa_down,BSK_LPS
355,296,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,inflammatory factor,TNF,TNF,TNF,7124,7124,tumor necrosis factor,tumor necrosis factor,BSK_LPS_TNFa_up,BSK_LPS
356,297,1000000.0,14.0815069711341,nR-T,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_LPS_VCAM1_down,BSK_LPS
357,298,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,Immunoglobulin CAM,VCAM1,VCAM1,VCAM1,7412,7412,vascular cell adhesion molecule 1,vascular cell adhesion molecule 1,BSK_LPS_VCAM1_up,BSK_LPS
358,299,22.5736163661492,16.4327936271694,R-T,regulation of gene expression,cytokine,other cytokine,CD38,CD38,CD38,952,952,CD38 molecule,CD38 molecule,BSK_SAg_CD38_down,BSK_SAg
359,300,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,other cytokine,CD38,CD38,CD38,952,952,CD38 molecule,CD38 molecule,BSK_SAg_CD38_up,BSK_SAg
360,301,16.263633910241,11.3792302086913,R-T,regulation of gene expression,cytokine,inflammatory factor,CD40,CD40,CD40,958,958,"CD40 molecule, TNF receptor superfamily member 5","CD40 molecule, TNF receptor superfamily member 5",BSK_SAg_CD40_down,BSK_SAg
361,302,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,inflammatory factor,CD40,CD40,CD40,958,958,"CD40 molecule, TNF receptor superfamily member 5","CD40 molecule, TNF receptor superfamily member 5",BSK_SAg_CD40_up,BSK_SAg
362,303,17.8747954807527,25.8684940964592,R-T,regulation of gene expression,cytokine,inflammatory factor,CD69,CD69,CD69,969,969,CD69 molecule,CD69 molecule,BSK_SAg_CD69_down,BSK_SAg
363,304,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,inflammatory factor,CD69,CD69,CD69,969,969,CD69 molecule,CD69 molecule,BSK_SAg_CD69_up,BSK_SAg
364,305,18.3651638752043,33.7680224581758,R-T,regulation of gene expression,cell adhesion molecules,selectins,SELE,SELE,SELE,6401,6401,selectin E,selectin E,BSK_SAg_Eselectin_down,BSK_SAg
365,306,1000000.0,1000000.0,nR-nT,regulation of gene expression,cell adhesion molecules,selectins,SELE,SELE,SELE,6401,6401,selectin E,selectin E,BSK_SAg_Eselectin_up,BSK_SAg
366,307,23.3459509828672,35.5082392430544,R-T,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_SAg_IL8_down,BSK_SAg
367,308,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,interleukins,CXCL8,CXCL8,CXCL8,3576,3576,chemokine (C-X-C motif) ligand 8,chemokine (C-X-C motif) ligand 8,BSK_SAg_IL8_up,BSK_SAg
368,309,16.437897271747,25.102003370166,R-T,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_SAg_MCP1_down,BSK_SAg
369,310,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CCL2,CCL2,CCL2,6347,6347,chemokine (C-C motif) ligand 2,chemokine (C-C motif) ligand 2,BSK_SAg_MCP1_up,BSK_SAg
370,311,1000000.0,14.913755352482,nR-T,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_SAg_MIG_down,BSK_SAg
371,312,1000000.0,1000000.0,nR-nT,regulation of gene expression,cytokine,chemotactic factor,CXCL9,CXCL9,CXCL9,4283,4283,chemokine (C-X-C motif) ligand 9,chemokine (C-X-C motif) ligand 9,BSK_SAg_MIG_up,BSK_SAg
372,313,1000000.0,25.3904451829802,nR-T,cell death,cell cycle,proliferation,cell death,,,,,,,BSK_SAg_PBMCCytotoxicity_down,BSK_SAg
373,314,1000000.0,1000000.0,nR-nT,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_SAg_PBMCCytotoxicity_up,BSK_SAg
374,315,21.4997925570262,10.8631617197094,R-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,BSK_SAg_Proliferation_down,BSK_SAg
375,316,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,proliferation,cell proliferation,,,,,,,BSK_SAg_Proliferation_up,BSK_SAg
376,317,1000000.0,25.1221880207204,nR-T,cell death,cell cycle,cytotoxicity,cell death,,,,,,,BSK_SAg_SRB_down,BSK_SAg
377,318,1000000.0,1000000.0,nR-nT,cell death,cell morphology,cell conformation,cell death,,,,,,,BSK_SAg_SRB_up,BSK_SAg
378,739,,1000000.0,N-nT,regulation of gene expression,nuclear receptor,steroidal,AR,AR,AR,367,367,androgen receptor,androgen receptor,OT_AR_ARELUC_AG_1440,OT_AR_ARELUC_AG_1440
379,750,,1000000.0,N-nT,regulation of gene expression,nuclear receptor,steroidal,ESR1,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,OT_ERa_EREGFP_0120,OT_ERa_GFPERaERE_0120
380,751,,1000000.0,N-nT,regulation of gene expression,nuclear receptor,steroidal,ESR1,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,OT_ERa_EREGFP_0480,OT_ERa_GFPERaERE_0480
381,759,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,AR,,AR,,367,,androgen receptor,TOX21_AR_BLA_Agonist_ch1,TOX21_AR_BLA_Agonist
382,760,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,AR,,AR,,367,,androgen receptor,TOX21_AR_BLA_Agonist_ch2,TOX21_AR_BLA_Agonist
383,761,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,AR,AR,AR,367,367,androgen receptor,androgen receptor,TOX21_AR_BLA_Agonist_ratio,TOX21_AR_BLA_Agonist
384,762,1000000.0,33.4377135481714,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,AR,AR,AR,367,367,androgen receptor,androgen receptor,TOX21_AR_BLA_Antagonist_ratio,TOX21_AR_BLA_Antagonist
385,763,1000000.0,35.749398622267,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_AR_BLA_Antagonist_viability,TOX21_AR_BLA_Antagonist
386,1202,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,AR,,AR,,367,,androgen receptor,TOX21_AR_BLA_Antagonist_ch1,TOX21_AR_BLA_Antagonist
387,1203,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,AR,,AR,,367,,androgen receptor,TOX21_AR_BLA_Antagonist_ch2,TOX21_AR_BLA_Antagonist
388,764,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,AR,AR,AR,367,367,androgen receptor,androgen receptor,TOX21_AR_LUC_MDAKB2_Agonist,TOX21_AR_LUC_MDAKB2_Agonist
389,765,1000000.0,60.7181950863806,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,AR,AR,AR,367,367,androgen receptor,androgen receptor,TOX21_AR_LUC_MDAKB2_Antagonist,TOX21_AR_LUC_MDAKB2_Antagonist
390,767,1000000.0,25.8314869919829,nR-T,regulation of transcription factor activity,cyp,steroidogenesis-related,CYP19A1,CYP19A1,CYP19A1,1588,1588,"cytochrome P450, family 19, subfamily A, polypeptide 1","cytochrome P450, family 19, subfamily A, polypeptide 1",TOX21_Aromatase_Inhibition,TOX21_Aromatase_Inhibition
391,781,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,hydrolase,atpase,ATAD5,ATAD5,ATAD5,79915,79915,"ATPase family, AAA domain containing 5","ATPase family, AAA domain containing 5",TOX21_ELG1_LUC_Agonist,TOX21_ELG1_LUC_Agonist
392,783,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,ESR1,,ESR1,,2099,,estrogen receptor 1,TOX21_ERa_BLA_Agonist_ch1,TOX21_ERa_BLA_Agonist
393,784,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,ESR1,,ESR1,,2099,,estrogen receptor 1,TOX21_ERa_BLA_Agonist_ch2,TOX21_ERa_BLA_Agonist
394,785,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,ESR1,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,TOX21_ERa_BLA_Agonist_ratio,TOX21_ERa_BLA_Agonist
395,786,58.5232152763657,35.7424731571738,R-T,regulation of transcription factor activity,nuclear receptor,steroidal,ESR1,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,TOX21_ERa_BLA_Antagonist_ratio,TOX21_ERa_BLA_Antagonist
396,787,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_ERa_BLA_Antagonist_viability,TOX21_ERa_BLA_Antagonist
397,1189,14.1684505312321,1000000.0,R-nT,regulation of transcription factor activity,background measurement,baseline control,ESR1,,ESR1,,2099,,estrogen receptor 1,TOX21_ERa_BLA_Antagonist_ch1,TOX21_ERa_BLA_Antagonist
398,1190,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,ESR1,,ESR1,,2099,,estrogen receptor 1,TOX21_ERa_BLA_Antagonist_ch2,TOX21_ERa_BLA_Antagonist
399,788,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,ESR1,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,TOX21_ERa_LUC_BG1_Agonist,TOX21_ERa_LUC_BG1_Agonist
400,789,1000000.0,62.4021908634468,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,ESR1,ESR1,ESR1,2099,2099,estrogen receptor 1,estrogen receptor 1,TOX21_ERa_LUC_BG1_Antagonist,TOX21_ERa_LUC_BG1_Antagonist
401,791,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,NR3C1,,NR3C1,,2908,,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",TOX21_GR_BLA_Agonist_ch1,TOX21_GR_BLA_Agonist
402,792,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,NR3C1,,NR3C1,,2908,,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",TOX21_GR_BLA_Agonist_ch2,TOX21_GR_BLA_Agonist
403,793,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,steroidal,NR3C1,NR3C1,NR3C1,2908,2908,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",TOX21_GR_BLA_Agonist_ratio,TOX21_GR_BLA_Agonist
404,794,1000000.0,35.6455792125759,nR-T,regulation of transcription factor activity,nuclear receptor,steroidal,NR3C1,NR3C1,NR3C1,2908,2908,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)","nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",TOX21_GR_BLA_Antagonist_ratio,TOX21_GR_BLA_Antagonist
405,795,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_GR_BLA_Antagonist_viability,TOX21_GR_BLA_Antagonist
406,1193,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,NR3C1,,NR3C1,,2908,,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",TOX21_GR_BLA_Antagonist_ch1,TOX21_GR_BLA_Antagonist
407,1194,1000000.0,42.0689593916405,nR-T,regulation of transcription factor activity,background measurement,baseline control,NR3C1,,NR3C1,,2908,,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",TOX21_GR_BLA_Antagonist_ch2,TOX21_GR_BLA_Antagonist
408,797,55.0367274610858,13.3856097538959,R-T,mitochondrial depolarization,cell morphology,organelle conformation,mitochondrial depolarization,,,,,,,TOX21_MMP_ratio_down,TOX21_MMP
409,1854,1000000.0,1000000.0,nR-nT,mitochondrial depolarization,cell morphology,organelle conformation,mitochondrial depolarization,,,,,,,TOX21_MMP_ratio_up,TOX21_MMP
410,799,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_MMP_viability,TOX21_MMP
411,800,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,PPARG,,PPARG,,5468,,peroxisome proliferator-activated receptor gamma,TOX21_PPARg_BLA_Agonist_ch1,TOX21_PPARg_BLA_Agonist
412,801,0.0665227438125689,0.0210304670670446,R-T,regulation of transcription factor activity,background measurement,baseline control,PPARG,,PPARG,,5468,,peroxisome proliferator-activated receptor gamma,TOX21_PPARg_BLA_Agonist_ch2,TOX21_PPARg_BLA_Agonist
413,802,0.00771151984714819,0.0250063902380938,R-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARG,PPARG,PPARG,5468,5468,peroxisome proliferator-activated receptor gamma,peroxisome proliferator-activated receptor gamma,TOX21_PPARg_BLA_Agonist_ratio,TOX21_PPARg_BLA_Agonist
414,803,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,THRB|THRA,THRB|THRA,THRB|THRA,7068|7067,7068|7067,"thyroid hormone receptor, beta|thyroid hormone receptor, alpha","thyroid hormone receptor, beta|thyroid hormone receptor, alpha",TOX21_TR_LUC_GH3_Agonist,TOX21_TR_LUC_GH3_Agonist
415,804,77.5137616836278,20.958380917427,R-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,THRB|THRA,THRB|THRA,THRB|THRA,7068|7067,7068|7067,"thyroid hormone receptor, beta|thyroid hormone receptor, alpha","thyroid hormone receptor, beta|thyroid hormone receptor, alpha",TOX21_TR_LUC_GH3_Antagonist,TOX21_TR_LUC_GH3_Antagonist
416,806,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,dna binding,basic helix-loop-helix protein,AHR,AHR,AHR,196,196,aryl hydrocarbon receptor,aryl hydrocarbon receptor,TOX21_AhR_LUC_Agonist,TOX21_AhR_LUC_Agonist
417,890,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,glucocorticoids,regulation of catalytic activity,,,,,,,CEETOX_H295R_11DCORT_dn,CEETOX_H295R
418,891,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,glucocorticoids,regulation of catalytic activity,,,,,,,CEETOX_H295R_11DCORT_up,CEETOX_H295R
419,892,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,progestagens,regulation of catalytic activity,,,,,,,CEETOX_H295R_OHPREG_dn,CEETOX_H295R
420,893,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,progestagens,regulation of catalytic activity,,,,,,,CEETOX_H295R_OHPREG_up,CEETOX_H295R
421,894,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,progestagens,regulation of catalytic activity,,,,,,,CEETOX_H295R_OHPROG_dn,CEETOX_H295R
422,895,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,progestagens,regulation of catalytic activity,,,,,,,CEETOX_H295R_OHPROG_up,CEETOX_H295R
423,896,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,androgens,regulation of catalytic activity,,,,,,,CEETOX_H295R_ANDR_dn,CEETOX_H295R
424,897,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,androgens,regulation of catalytic activity,,,,,,,CEETOX_H295R_ANDR_up,CEETOX_H295R
425,900,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,glucocorticoids,regulation of catalytic activity,,,,,,,CEETOX_H295R_CORTISOL_dn,CEETOX_H295R
426,901,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,glucocorticoids,regulation of catalytic activity,,,,,,,CEETOX_H295R_CORTISOL_up,CEETOX_H295R
427,904,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,glucocorticoids,regulation of catalytic activity,,,,,,,CEETOX_H295R_DOC_dn,CEETOX_H295R
428,905,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,glucocorticoids,regulation of catalytic activity,,,,,,,CEETOX_H295R_DOC_up,CEETOX_H295R
429,906,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,estrogens,regulation of catalytic activity,,,,,,,CEETOX_H295R_ESTRADIOL_dn,CEETOX_H295R
430,907,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,estrogens,regulation of catalytic activity,,,,,,,CEETOX_H295R_ESTRADIOL_up,CEETOX_H295R
431,908,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,estrogens,regulation of catalytic activity,,,,,,,CEETOX_H295R_ESTRONE_dn,CEETOX_H295R
432,909,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,estrogens,regulation of catalytic activity,,,,,,,CEETOX_H295R_ESTRONE_up,CEETOX_H295R
433,912,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,progestagens,regulation of catalytic activity,,,,,,,CEETOX_H295R_PROG_dn,CEETOX_H295R
434,913,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,progestagens,regulation of catalytic activity,,,,,,,CEETOX_H295R_PROG_up,CEETOX_H295R
435,914,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,androgens,regulation of catalytic activity,,,,,,,CEETOX_H295R_TESTO_dn,CEETOX_H295R
436,915,,1000000.0,N-nT,regulation of catalytic activity,steroid hormone,androgens,regulation of catalytic activity,,,,,,,CEETOX_H295R_TESTO_up,CEETOX_H295R
437,1108,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,NFE2L2,,NFE2L2,,4780,,"nuclear factor, erythroid 2-like 2",TOX21_ARE_BLA_Agonist_ch1,TOX21_ARE_BLA_Agonist
438,1109,30.9716204725647,5.19017644340947,R-T,regulation of transcription factor activity,background measurement,baseline control,NFE2L2,,NFE2L2,,4780,,"nuclear factor, erythroid 2-like 2",TOX21_ARE_BLA_Agonist_ch2,TOX21_ARE_BLA_Agonist
439,1110,47.8128894707636,7.96501881287529,R-T,regulation of transcription factor activity,dna binding,basic leucine zipper,NFE2L2,NFE2L2,NFE2L2,4780,4780,"nuclear factor, erythroid 2-like 2","nuclear factor, erythroid 2-like 2",TOX21_ARE_BLA_agonist_ratio,TOX21_ARE_BLA_Agonist
440,1185,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_ARE_BLA_agonist_viability,TOX21_ARE_BLA_Agonist
441,1111,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,HSF1,,HSF1,,3297,,heat shock transcription factor 1,TOX21_HSE_BLA_agonist_ch1,TOX21_HSE_BLA_Agonist
442,1112,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,HSF1,,HSF1,,3297,,heat shock transcription factor 1,TOX21_HSE_BLA_agonist_ch2,TOX21_HSE_BLA_Agonist
443,1113,1000000.0,56.5378090648798,nR-T,regulation of transcription factor activity,dna binding,heat shock protein,HSF1,HSF1,HSF1,3297,3297,heat shock transcription factor 1,heat shock transcription factor 1,TOX21_HSE_BLA_agonist_ratio,TOX21_HSE_BLA_Agonist
444,1186,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_HSE_BLA_agonist_viability,TOX21_HSE_BLA_Agonist
445,1114,1000000.0,42.5132808700991,nR-T,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p1_ch1,TOX21_p53_BLA_p1
446,1115,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,TP53,,TP53,,7157,,tumor protein p53,TOX21_p53_BLA_p1_ch2,TOX21_p53_BLA_p1
447,1116,1000000.0,39.7204084786161,nR-T,regulation of transcription factor activity,dna binding,tumor suppressor,TP53,TP53,TP53,7157,7157,tumor protein p53,tumor protein p53,TOX21_p53_BLA_p1_ratio,TOX21_p53_BLA_p1
448,1187,1000000.0,54.8062125840848,nR-T,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_p53_BLA_p1_viability,TOX21_p53_BLA_p1
449,1117,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,NR1H4,,NR1H4,,9971,,"nuclear receptor subfamily 1, group H, member 4",TOX21_FXR_BLA_agonist_ch1,TOX21_FXR_BLA_Agonist
450,1118,1000000.0,30.65109385445,nR-T,regulation of transcription factor activity,background measurement,baseline control,NR1H4,,NR1H4,,9971,,"nuclear receptor subfamily 1, group H, member 4",TOX21_FXR_BLA_agonist_ch2,TOX21_FXR_BLA_Agonist
451,1119,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H4,NR1H4,NR1H4,9971,9971,"nuclear receptor subfamily 1, group H, member 4","nuclear receptor subfamily 1, group H, member 4",TOX21_FXR_BLA_agonist_ratio,TOX21_FXR_BLA_Agonist
452,1188,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_FXR_BLA_agonist_viability,TOX21_FXR_BLA_Agonist
453,1120,1000000.0,71.0927099474505,nR-T,regulation of transcription factor activity,nuclear receptor,non-steroidal,NR1H4,NR1H4,NR1H4,9971,9971,"nuclear receptor subfamily 1, group H, member 4","nuclear receptor subfamily 1, group H, member 4",TOX21_FXR_BLA_antagonist_ratio,TOX21_FXR_BLA_Antagonist
454,1121,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_FXR_BLA_antagonist_viability,TOX21_FXR_BLA_Antagonist
455,1191,1000000.0,252.982203321942,nR-T,regulation of transcription factor activity,background measurement,baseline control,NR1H4,,NR1H4,,9971,,"nuclear receptor subfamily 1, group H, member 4",TOX21_FXR_BLA_Antagonist_ch1,TOX21_FXR_BLA_Antagonist
456,1192,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,NR1H4,,NR1H4,,9971,,"nuclear receptor subfamily 1, group H, member 4",TOX21_FXR_BLA_Antagonist_ch2,TOX21_FXR_BLA_Antagonist
457,1122,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,PPARD,,PPARD,,5467,,peroxisome proliferator-activated receptor delta,TOX21_PPARd_BLA_agonist_ch1,TOX21_PPARd_BLA_Agonist
458,1123,7.00129729293082,126.491105703665,R-T,regulation of transcription factor activity,background measurement,baseline control,PPARD,,PPARD,,5467,,peroxisome proliferator-activated receptor delta,TOX21_PPARd_BLA_agonist_ch2,TOX21_PPARd_BLA_Agonist
459,1124,25.8840063498385,1000000.0,R-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARD,PPARD,PPARD,5467,5467,peroxisome proliferator-activated receptor delta,peroxisome proliferator-activated receptor delta,TOX21_PPARd_BLA_agonist_ratio,TOX21_PPARd_BLA_Agonist
460,1195,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_PPARd_BLA_Agonist_viability,TOX21_PPARd_BLA_Agonist
461,1125,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARD,PPARD,PPARD,5467,5467,peroxisome proliferator-activated receptor delta,peroxisome proliferator-activated receptor delta,TOX21_PPARd_BLA_antagonist_ratio,TOX21_PPARd_BLA_Antagonist
462,1126,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_PPARd_BLA_antagonist_viability,TOX21_PPARd_BLA_Antagonist
463,1196,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,PPARD,,PPARD,,5467,,peroxisome proliferator-activated receptor delta,TOX21_PPARd_BLA_Antagonist_ch1,TOX21_PPARd_BLA_Antagonist
464,1197,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,PPARD,,PPARD,,5467,,peroxisome proliferator-activated receptor delta,TOX21_PPARd_BLA_Antagonist_ch2,TOX21_PPARd_BLA_Antagonist
465,1127,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,nuclear receptor,non-steroidal,PPARG,PPARG,PPARG,5468,5468,peroxisome proliferator-activated receptor gamma,peroxisome proliferator-activated receptor gamma,TOX21_PPARg_BLA_antagonist_ratio,TOX21_PPARg_BLA_Antagonist
466,1128,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_PPARg_BLA_antagonist_viability,TOX21_PPARg_BLA_Antagonist
467,1198,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,PPARG,,PPARG,,5468,,peroxisome proliferator-activated receptor gamma,TOX21_PPARg_BLA_Antagonist_ch1,TOX21_PPARg_BLA_Antagonist
468,1199,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,PPARG,,PPARG,,5468,,peroxisome proliferator-activated receptor gamma,TOX21_PPARg_BLA_Antagonist_ch2,TOX21_PPARg_BLA_Antagonist
469,1129,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,background measurement,baseline control,CYP24A1,,CYP24A1,,1591,,"cytochrome P450, family 24, subfamily A, polypeptide 1",TOX21_VDR_BLA_agonist_ch1,TOX21_VDR_BLA_Agonist
470,1130,26.308026277906,1000000.0,R-nT,regulation of transcription factor activity,background measurement,baseline control,CYP24A1,,CYP24A1,,1591,,"cytochrome P450, family 24, subfamily A, polypeptide 1",TOX21_VDR_BLA_agonist_ch2,TOX21_VDR_BLA_Agonist
471,1131,1000000.0,1000000.0,nR-nT,regulation of transcription factor activity,cyp,xenobiotic metabolism,CYP24A1,CYP24A1,CYP24A1,1591,1591,"cytochrome P450, family 24, subfamily A, polypeptide 1","cytochrome P450, family 24, subfamily A, polypeptide 1",TOX21_VDR_BLA_agonist_ratio,TOX21_VDR_BLA_Agonist
472,1331,1000000.0,1000000.0,nR-nT,cell proliferation,cell cycle,cytotoxicity,cell proliferation,,,,,,,TOX21_VDR_BLA_Agonist_viability,TOX21_VDR_BLA_Agonist
